timestamp,ratemid
41182.70837,1.284645
41182.70838,1.284625
41182.70842,1.284525
41182.70843,1.284545
41182.70844,1.284595
41182.70845,1.284525
41182.70848,1.284505
41182.70848,1.284495
41182.70849,1.284695
41182.70849,1.284795
41182.7085,1.284815
41182.7085,1.284805
41182.70851,1.284795
41182.70858,1.284665
41182.70858,1.284645
41182.70859,1.284625
41182.70859,1.284635
41182.70859,1.284625
41182.70861,1.284635
41182.70861,1.284625
41182.70861,1.284615
41182.70864,1.284625
41182.70866,1.284615
41182.70867,1.284625
41182.70868,1.284615
41182.70869,1.284625
41182.70869,1.284635
41182.7087,1.284625
41182.70871,1.284635
41182.70871,1.284625
41182.70872,1.284635
41182.70882,1.284625
41182.70883,1.284615
41182.70885,1.284605
41182.70891,1.284615
41182.70892,1.284625
41182.70895,1.284665
41182.70895,1.284685
41182.70896,1.284715
41182.70896,1.284675
41182.70896,1.284655
41182.70904,1.284625
41182.7091,1.284645
41182.7091,1.284625
41182.70911,1.284645
41182.70911,1.284665
41182.70912,1.284635
41182.70917,1.284655
41182.70919,1.284635
41182.70922,1.284655
41182.70929,1.284635
41182.70937,1.284615
41182.70937,1.284635
41182.70941,1.284615
41182.70941,1.284635
41182.70943,1.284665
41182.70943,1.284685
41182.70949,1.284705
41182.70957,1.284685
41182.70961,1.284625
41182.70961,1.284645
41182.7097,1.284625
41182.70972,1.284605
41182.70973,1.284625
41182.7098,1.284605
41182.70988,1.284625
41182.70988,1.284575
41182.70992,1.284555
41182.70994,1.284575
41182.71003,1.284555
41182.71009,1.284505
41182.71031,1.284485
41182.71044,1.284505
41182.71046,1.284485
41182.71048,1.284495
41182.71056,1.284515
41182.71074,1.284535
41182.71079,1.284515
41182.71081,1.284585
41182.71101,1.284595
41182.71125,1.284585
41182.71133,1.284595
41182.71152,1.284565
41182.71153,1.284535
41182.71181,1.284605
41182.71182,1.284585
41182.71182,1.284625
41182.7119,1.284505
41182.71191,1.284485
41182.71195,1.284465
41182.71198,1.284355
41182.71198,1.284365
41182.71199,1.284475
41182.71199,1.284495
41182.71202,1.284375
41182.71203,1.284385
41182.71203,1.284375
41182.71205,1.284555
41182.71209,1.284475
41182.7121,1.284495
41182.71214,1.284595
41182.71229,1.284625
41182.71236,1.284605
41182.71239,1.284585
41182.71252,1.284575
41182.71273,1.284615
41182.71273,1.284535
41182.71274,1.284505
41182.71275,1.284465
41182.71278,1.284485
41182.71279,1.284575
41182.71288,1.284555
41182.7137,1.284575
41182.7137,1.284585
41182.71397,1.284615
41182.71399,1.284595
41182.71402,1.284575
41182.71403,1.284555
41182.71407,1.284575
41182.71414,1.284555
41182.71463,1.284545
41182.71467,1.284525
41182.71486,1.284545
41182.71488,1.284515
41182.71488,1.284495
41182.7149,1.284515
41182.71508,1.284535
41182.71529,1.284515
41182.71529,1.284585
41182.7153,1.284565
41182.71536,1.284575
41182.71537,1.284615
41182.71544,1.284585
41182.71557,1.284565
41182.71562,1.284585
41182.71622,1.284625
41182.71623,1.284575
41182.71701,1.284535
41182.7189,1.284545
41182.7189,1.284535
41182.71891,1.284545
41182.71892,1.284535
41182.71892,1.284545
41182.71893,1.284565
41182.71948,1.284585
41182.71952,1.284565
41182.71991,1.284545
41182.71993,1.284565
41182.71998,1.284585
41182.72004,1.284595
41182.72005,1.284665
41182.72005,1.284565
41182.72011,1.284525
41182.72058,1.284495
41182.72059,1.284505
41182.72061,1.284555
41182.72061,1.284545
41182.72063,1.284535
41182.72063,1.284495
41182.72067,1.284515
41182.72072,1.284535
41182.72088,1.284515
41182.72089,1.284535
41182.72094,1.284565
41182.72094,1.284585
41182.72108,1.284555
41182.72125,1.284515
41182.72127,1.284565
41182.72127,1.284585
41182.72144,1.284605
41182.72159,1.284585
41182.7217,1.284605
41182.72187,1.284615
41182.72242,1.284605
41182.72244,1.284615
41182.72265,1.284625
41182.72327,1.284605
41182.72395,1.284665
41182.72396,1.284705
41182.72396,1.284695
41182.72415,1.284845
41182.72416,1.284895
41182.72419,1.284735
41182.7242,1.284745
41182.72421,1.284735
41182.72422,1.284745
41182.72529,1.284765
41182.72531,1.284745
41182.72654,1.284665
41182.72655,1.284655
41182.72663,1.284715
41182.72664,1.284795
41182.72664,1.284745
41182.72665,1.284735
41182.72669,1.284695
41182.72669,1.284655
41182.72676,1.284665
41182.72676,1.284765
41182.72676,1.284695
41182.72677,1.284705
41182.72679,1.284685
41182.72679,1.284725
41182.7268,1.284685
41182.72681,1.284675
41182.72681,1.284665
41182.72739,1.284655
41182.72772,1.284695
41182.72772,1.284715
41182.7278,1.284705
41182.72797,1.284715
41182.72797,1.284705
41182.72887,1.284715
41182.72898,1.284705
41182.72926,1.284715
41182.72945,1.284725
41182.72946,1.284705
41182.72962,1.284715
41182.73017,1.284705
41182.73048,1.284715
41182.73066,1.284725
41182.73066,1.284715
41182.73077,1.284725
41182.73089,1.284715
41182.73124,1.284705
41182.73169,1.284715
41182.73183,1.284705
41182.7321,1.284725
41182.7321,1.284705
41182.73229,1.284725
41182.73229,1.284715
41182.73288,1.284705
41182.73359,1.284695
41182.73359,1.284705
41182.73488,1.284695
41182.73488,1.284705
41182.73574,1.284745
41182.73578,1.284725
41182.73579,1.284715
41182.73579,1.284725
41182.7358,1.284695
41182.7358,1.284685
41182.7358,1.284705
41182.73587,1.284695
41182.73613,1.284705
41182.73693,1.284715
41182.73716,1.284725
41182.73717,1.284705
41182.73748,1.284745
41182.73748,1.284725
41182.73758,1.284755
